,date,measurements,ok,anomalies,ratio
313,2022-08-03,171462,164467,6995,0.0407962114054426
314,2022-08-04,87404,85454,1950,0.022310191753237837
315,2022-08-07,171615,164510,7105,0.04140080995250998
316,2022-08-08,87626,85651,1975,0.02253897245109899
317,2022-08-10,171700,164734,6966,0.04057076295864881
318,2022-08-11,88156,86009,2147,0.024354553291891647
319,2022-08-14,171700,164559,7141,0.041589982527664535
320,2022-08-15,86407,84380,2027,0.02345874755517493
321,2022-08-17,171304,164297,7007,0.040903890160183067
322,2022-08-18,89800,87731,2069,0.02304008908685969
323,2022-08-21,171700,164478,7222,0.04206173558532324
324,2022-08-22,91008,89000,2008,0.022063994374120956
325,2022-08-24,171700,164741,6959,0.04052999417588818
326,2022-08-25,89424,87383,2041,0.022823850420468778
327,2022-08-28,170734,163622,7112,0.041655440626940154
328,2022-08-29,92708,90683,2025,0.0218427751650343
329,2022-08-31,170222,163214,7008,0.041169766540165194
330,2022-09-01,91366,89329,2037,0.022294945603397325
331,2022-09-04,171870,164557,7313,0.04254960144295107
332,2022-09-05,90990,88943,2047,0.022496977689856028
333,2022-09-07,171870,164909,6961,0.04050154186303601
334,2022-09-08,93012,90946,2066,0.02221218767470864
335,2022-09-11,171870,164499,7371,0.042887065805550705
336,2022-09-12,93012,90966,2046,0.021997161656560443
337,2022-09-14,171530,164441,7089,0.04132804757185332
338,2022-09-15,93123,91000,2123,0.02279780505353135
339,2022-09-18,171615,164215,7400,0.04311977391253678
340,2022-09-19,93094,90945,2149,0.023084194470105485
341,2022-09-21,171530,164657,6873,0.04006879263102664
342,2022-09-22,94833,92804,2029,0.021395505783851614
343,2022-09-25,171700,164502,7198,0.04192195690157251
344,2022-09-26,94940,92919,2021,0.02128712871287129
345,2022-09-28,171615,164697,6918,0.04031116161174723
346,2022-09-29,93949,91933,2016,0.021458450861637696
347,2022-10-02,171530,164549,6981,0.04069842010143998
348,2022-10-03,92823,90752,2071,0.02231128060933174
349,2022-10-05,171530,164600,6930,0.04040109601818924
350,2022-10-06,93209,90706,2503,0.02685363001426901
351,2022-10-09,171530,164267,7263,0.042342447385297036
352,2022-10-10,93619,91102,2517,0.026885568100492422
353,2022-10-12,171530,164451,7079,0.04126974873200023
354,2022-10-13,44396,42681,1715,0.03862960627083521
355,2022-10-19,181620,173673,7947,0.04375619425173439
356,2022-10-20,44396,42735,1661,0.037413280475718534
357,2022-10-23,179691,171884,7807,0.043446805905693664
358,2022-10-24,42399,40725,1674,0.03948206325620887
359,2022-10-26,179691,172064,7627,0.04244508628701493
360,2022-10-27,42399,40730,1669,0.03936413594660251
361,2022-10-30,179691,171818,7873,0.043814103099209196
362,2022-10-31,42399,40732,1667,0.03931696502275997
363,2022-11-02,177672,170174,7498,0.04220135980908641
364,2022-11-03,41217,39403,1814,0.044010966348836646
365,2022-11-06,177848,169966,7882,0.044318744096082045
366,2022-11-07,42441,40771,1670,0.03934874296081619
367,2022-11-09,177848,169872,7976,0.04484728532229769
