,date,measurements,ok,anomalies,ratio
240,2022-02-22,29723,21102,8621,0.29004474649261514
241,2022-02-23,609,504,105,0.1724137931034483
242,2022-02-24,16060,12489,3571,0.22235367372353673
243,2022-02-25,31652,22320,9332,0.29483129028181476
244,2022-02-26,111,68,43,0.38738738738738737
245,2022-02-28,13167,10072,3095,0.23505734032049821
246,2022-03-01,32267,21726,10541,0.3266805094988688
247,2022-03-02,278,201,77,0.27697841726618705
248,2022-03-03,15850,12125,3725,0.23501577287066247
249,2022-03-04,11546,7959,3587,0.3106703620301403
250,2022-03-06,77,49,28,0.36363636363636365
251,2022-03-07,14370,9749,4621,0.32157272094641615
252,2022-03-08,28821,19711,9110,0.31608896290898997
253,2022-03-09,116,71,45,0.3879310344827586
254,2022-03-10,8913,6152,2761,0.30977224279142823
255,2022-03-11,28161,19342,8819,0.3131635950427897
256,2022-03-14,14082,9631,4451,0.316077261752592
257,2022-03-15,30359,20695,9664,0.31832405546954773
258,2022-03-16,942,642,300,0.3184713375796178
259,2022-03-17,13156,9165,3991,0.30335968379446643
260,2022-03-20,385,261,124,0.3220779220779221
261,2022-03-21,12858,8799,4059,0.31567895473635094
262,2022-03-22,29669,20069,9600,0.3235700562877077
263,2022-03-23,201,136,65,0.32338308457711445
264,2022-03-24,6779,4687,2092,0.3086000885086296
265,2022-03-25,23230,15860,7370,0.3172621609987086
266,2022-03-28,765,476,289,0.37777777777777777
267,2022-03-29,23415,15979,7436,0.31757420456972024
268,2022-03-30,237,167,70,0.29535864978902954
269,2022-03-31,6266,4297,1969,0.3142355569741462
270,2022-04-01,25737,17583,8154,0.31682014220771654
271,2022-04-03,235,161,74,0.3148936170212766
272,2022-04-04,5426,3745,1681,0.3098046443051972
273,2022-04-05,25455,17289,8166,0.32080141426045966
274,2022-04-06,172,106,66,0.38372093023255816
275,2022-04-07,6531,4590,1941,0.2971979788700046
276,2022-04-08,25712,17507,8205,0.3191116988176727
277,2022-04-10,273,224,49,0.1794871794871795
278,2022-04-11,6841,4853,1988,0.29060078935828093
279,2022-04-12,23096,15581,7515,0.32538101835815725
280,2022-04-13,125,77,48,0.384
281,2022-04-14,8372,5836,2536,0.3029144768275203
282,2022-04-15,23711,16195,7516,0.3169836784614736
283,2022-04-17,612,395,217,0.3545751633986928
284,2022-04-18,9112,6085,3027,0.33219929762949957
285,2022-04-19,24548,16609,7939,0.3234072022160665
286,2022-04-20,354,232,122,0.3446327683615819
287,2022-04-21,7929,5430,2499,0.31517215285660233
288,2022-04-22,23925,16396,7529,0.3146917450365726
289,2022-04-24,95,68,27,0.28421052631578947
290,2022-04-25,1919,1346,573,0.2985930171964565
291,2022-04-26,2011,1432,579,0.28791645947289907
292,2022-04-27,457,330,127,0.2778993435448578
293,2022-04-28,2082,1420,662,0.31796349663784823
294,2022-04-29,15667,11118,4549,0.29035552435054574
