,date,measurements,ok,anomalies,ratio
255,2022-04-18,24582,24564,18,0.000732243104710764
256,2022-04-19,12601,12436,165,0.01309419887310531
257,2022-04-20,2117,2111,6,0.002834199338686821
258,2022-04-21,22724,22658,66,0.0029044182362260164
259,2022-04-22,15601,15433,168,0.010768540478174476
260,2022-04-24,463,461,2,0.004319654427645789
261,2022-04-25,7593,7556,37,0.004872909258527592
262,2022-04-26,18099,18095,4,0.00022100668545223492
263,2022-04-27,4254,4247,7,0.0016455101081335214
264,2022-04-28,23900,23887,13,0.0005439330543933054
265,2022-04-29,14700,14568,132,0.008979591836734694
266,2022-04-30,2801,2778,23,0.008211353088182792
267,2022-05-02,27167,27093,74,0.0027238929583686088
268,2022-05-03,16325,16179,146,0.00894333843797856
269,2022-05-04,2025,2022,3,0.0014814814814814814
270,2022-05-05,28402,28269,133,0.004682768819097247
271,2022-05-06,15918,15769,149,0.009360472421158436
272,2022-05-09,12084,12040,44,0.003641178417742469
273,2022-05-10,19243,19219,24,0.0012472067764901522
274,2022-05-12,12060,12016,44,0.003648424543946932
275,2022-05-13,19298,18660,638,0.03306042076899161
276,2022-05-16,11943,11906,37,0.003098049066398727
277,2022-05-17,22120,21800,320,0.014466546112115732
278,2022-05-19,12018,11974,44,0.0036611749043102015
279,2022-05-20,22033,21717,316,0.014342123178868061
280,2022-05-23,12018,11978,40,0.003328340822100183
281,2022-05-24,20030,19724,306,0.01527708437343984
282,2022-05-26,12018,11984,34,0.0028290896987851555
283,2022-05-27,10015,9711,304,0.030354468297553668
284,2022-05-30,20030,19994,36,0.0017973040439340988
285,2022-05-31,17135,16813,322,0.01879194630872483
286,2022-06-02,18027,17992,35,0.0019415321462251068
287,2022-06-03,11094,11068,26,0.0023436091581034795
288,2022-06-06,18027,17992,35,0.0019415321462251068
289,2022-06-07,18027,17638,389,0.021578742996616187
290,2022-06-09,18432,18387,45,0.00244140625
291,2022-06-10,16024,15713,311,0.019408387418871693
292,2022-06-13,20010,19976,34,0.001699150424787606
293,2022-06-14,14541,14230,311,0.02138780001375421
294,2022-06-16,20030,19980,50,0.0024962556165751375
295,2022-06-17,16024,16012,12,0.0007488766849725411
296,2022-06-20,20020,19991,29,0.0014485514485514486
297,2022-06-21,18018,17715,303,0.016816516816516816
298,2022-06-23,20020,19989,31,0.0015484515484515485
299,2022-06-24,16016,16005,11,0.0006868131868131869
300,2022-06-27,20170,20133,37,0.0018344075359444719
301,2022-06-28,12102,12069,33,0.002726822012890431
302,2022-06-30,20170,20143,27,0.001338621715418939
303,2022-07-01,6051,6013,38,0.006279953726656751
304,2022-07-04,20170,20138,32,0.0015865146256817055
305,2022-07-05,14133,14122,11,0.0007783202434019671
306,2022-07-07,20433,20415,18,0.0008809279107326384
307,2022-07-08,9852,9852,0,0.0
308,2022-07-12,16152,16142,10,0.0006191183754333828
309,2022-07-14,20190,20157,33,0.0016344725111441308
310,2022-07-15,12114,12112,2,0.0001650982334489021
311,2022-07-18,22828,22797,31,0.001357981426318556
312,2022-07-19,11495,11491,4,0.00034797738147020446
313,2022-07-21,18778,18766,12,0.0006390456917669613
314,2022-07-22,11507,11506,1,8.690362388111584e-05
315,2022-07-25,22452,22422,30,0.0013361838588989846
316,2022-07-26,9852,9840,12,0.001218026796589525
317,2022-07-28,22694,22667,27,0.0011897417819688022
